YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
2014,1,JAN,04-01-2014,LPS,ANSP (AUA),255.90,41.95,2.47,21.19,8.71,3.6
2014,1,JAN,04-01-2014,LVNL,ANSP (AUA),136.07,19.63,3.12,8.79,7.07,3.6
2014,1,JAN,04-01-2014,M-NAV,ANSP (AUA),25.87,0.58,0.15,0.30,0.06,3.6
2014,1,JAN,04-01-2014,MATS,ANSP (AUA),140.44,3.19,0.15,1.45,0.73,3.6
2014,1,JAN,04-01-2014,MUAC,ANSP (AUA),1373.49,213.60,48.93,123.28,38.61,3.6
2014,1,JAN,04-01-2014,MoldATSA,ANSP (AUA),34.68,0.99,0.03,0.52,0.27,3.6
2014,1,JAN,04-01-2014,NATS (Continental),ANSP (AUA),2317.71,366.40,129.40,157.41,95.12,3.6
2014,1,JAN,04-01-2014,NAV Portugal (Continental),ANSP (AUA),1081.51,89.01,8.05,31.57,4.43,3.6
2014,1,JAN,04-01-2014,NAVIAIR,ANSP (AUA),345.45,19.30,2.76,10.59,3.92,3.6
2014,1,JAN,04-01-2014,Oro Navigacija,ANSP (AUA),107.22,3.98,0.45,2.24,0.57,3.6
2014,1,JAN,04-01-2014,PANSA,ANSP (AUA),805.31,54.94,6.29,26.44,14.56,3.6
2014,1,JAN,04-01-2014,ROMATSA,ANSP (AUA),640.56,51.43,1.60,18.59,11.12,3.6
2014,1,JAN,04-01-2014,SMATSA,ANSP (AUA),368.87,28.92,1.62,13.61,5.02,3.6
2014,1,JAN,04-01-2014,Sakaeronavigatsia,ANSP (AUA),134.75,10.12,0.47,2.72,1.16,3.6
2014,1,JAN,04-01-2014,Skyguide,ANSP (AUA),653.21,114.54,38.53,71.99,31.81,3.6
2014,1,JAN,04-01-2014,Slovenia Control,ANSP (AUA),100.62,11.83,1.56,7.80,2.01,3.6
2014,1,JAN,04-01-2014,UkSATSE,ANSP (AUA),1078.25,69.66,3.02,33.16,11.31,3.6
2014,1,JAN,05-01-2014,ANS CR,ANSP (AUA),487.17,71.65,9.88,37.45,11.59,3.6
2014,1,JAN,05-01-2014,ARMATS,ANSP (AUA),32.89,0.88,0.06,0.41,0.18,3.6
2014,1,JAN,05-01-2014,Albcontrol,ANSP (AUA),94.87,8.14,0.26,2.45,0.61,3.6
2014,1,JAN,05-01-2014,Austro Control,ANSP (AUA),510.20,61.54,11.39,34.10,11.58,3.6
2014,1,JAN,05-01-2014,Avinor (Continental),ANSP (AUA),563.09,18.32,4.85,9.50,4.06,3.6
2014,1,JAN,05-01-2014,BULATSA,ANSP (AUA),388.52,35.78,2.72,8.97,5.46,3.6
2014,1,JAN,05-01-2014,Belgocontrol,ANSP (AUA),124.21,10.94,4.25,6.05,4.54,3.6
2014,1,JAN,05-01-2014,Croatia Control,ANSP (AUA),400.96,40.65,1.53,20.06,3.52,3.6
2014,1,JAN,05-01-2014,DCAC Cyprus,ANSP (AUA),364.70,30.29,4.44,11.87,2.92,3.6
2014,1,JAN,05-01-2014,DFS,ANSP (AUA),2269.18,322.79,85.95,189.67,77.18,3.6
2014,1,JAN,05-01-2014,DHMI,ANSP (AUA),2318.78,308.49,45.82,102.37,54.46,3.6
2014,1,JAN,05-01-2014,DSNA,ANSP (AUA),4626.96,737.21,114.18,310.11,107.67,3.6
2014,1,JAN,05-01-2014,EANS,ANSP (AUA),149.92,9.40,1.16,2.94,2.09,3.6
2014,1,JAN,05-01-2014,ENAIRE,ANSP (AUA),2806.07,327.38,36.81,119.79,30.91,3.6
2014,1,JAN,05-01-2014,ENAV,ANSP (AUA),1971.35,138.57,36.62,79.14,23.31,3.6
2014,1,JAN,05-01-2014,Finavia,ANSP (AUA),177.47,3.85,0.74,1.19,0.97,3.6
2014,1,JAN,05-01-2014,HCAA,ANSP (AUA),910.25,51.73,2.34,16.10,3.30,3.6
2014,1,JAN,05-01-2014,HungaroControl,ANSP (AUA),418.13,47.27,2.91,20.51,7.12,3.6
2014,1,JAN,05-01-2014,IAA,ANSP (AUA),555.57,33.86,4.13,10.34,6.68,3.6
2014,1,JAN,05-01-2014,LFV,ANSP (AUA),747.24,33.37,5.18,16.87,5.58,3.6
2014,1,JAN,05-01-2014,LGS,ANSP (AUA),166.98,10.80,0.61,5.26,1.26,3.6
2014,1,JAN,05-01-2014,LPS,ANSP (AUA),232.63,34.63,2.73,17.46,5.45,3.6
2014,1,JAN,05-01-2014,LVNL,ANSP (AUA),170.43,28.01,4.35,12.84,10.32,3.6
2014,1,JAN,05-01-2014,M-NAV,ANSP (AUA),30.90,1.09,0.11,0.43,0.03,3.6
2014,1,JAN,05-01-2014,MATS,ANSP (AUA),166.70,4.11,0.27,1.73,1.25,3.6
2014,1,JAN,05-01-2014,MUAC,ANSP (AUA),1453.39,221.99,56.15,125.12,41.19,3.6
2014,1,JAN,05-01-2014,MoldATSA,ANSP (AUA),37.50,1.15,0.02,0.64,0.31,3.6
2014,1,JAN,05-01-2014,NATS (Continental),ANSP (AUA),2454.20,410.64,161.19,185.07,119.27,3.6
2014,1,JAN,05-01-2014,NAV Portugal (Continental),ANSP (AUA),871.31,58.79,6.31,19.34,3.78,3.6
2014,1,JAN,05-01-2014,NAVIAIR,ANSP (AUA),371.20,20.96,3.67,12.03,3.57,3.6
2014,1,JAN,05-01-2014,Oro Navigacija,ANSP (AUA),110.29,4.93,0.35,2.55,0.84,3.6
2014,1,JAN,05-01-2014,PANSA,ANSP (AUA),793.85,49.65,6.96,25.33,13.11,3.6
2014,1,JAN,05-01-2014,ROMATSA,ANSP (AUA),675.34,56.24,2.48,21.30,11.41,3.6
