FLT_DATE,YEAR,MONTH_NUM,MONTH_MON,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
2017-01-03,2017.0,1.0,JAN,DHMI,ANSP (AUA),2792.02,540.83,62.07,116.36099999999999,51.64,3.13.1
2017-01-03,2017.0,1.0,JAN,DSNA,ANSP (AUA),4665.58,778.09,114.01,318.67199999999997,73.22,3.13.1
2017-01-03,2017.0,1.0,JAN,EANS,ANSP (AUA),150.13,6.8,1.0,2.322,0.59,3.13.1
2017-01-03,2017.0,1.0,JAN,ENAIRE,ANSP (AUA),2782.62,313.74,34.77,107.10000000000001,11.87,3.13.1
2017-01-03,2017.0,1.0,JAN,ENAV,ANSP (AUA),1829.32,117.96,35.26,67.26599999999999,13.31,3.13.1
2017-01-03,2017.0,1.0,JAN,HCAA,ANSP (AUA),783.77,33.79,3.17,12.915,2.48,3.13.1
2017-01-03,2017.0,1.0,JAN,HungaroControl,ANSP (AUA),500.18,55.87,3.34,24.128999999999998,5.74,3.13.1
2017-01-03,2017.0,1.0,JAN,IAA,ANSP (AUA),570.28,35.8,2.2,9.621,1.86,3.13.1
2017-01-03,2017.0,1.0,JAN,LFV,ANSP (AUA),819.98,33.93,6.09,16.353,4.36,3.13.1
2017-01-03,2017.0,1.0,JAN,LGS,ANSP (AUA),169.47,7.59,0.74,3.753,0.79,3.13.1
2017-01-03,2017.0,1.0,JAN,LPS,ANSP (AUA),217.75,27.65,3.1,12.087,3.0,3.13.1
2017-01-03,2017.0,1.0,JAN,LVNL,ANSP (AUA),186.09,29.75,5.15,11.277,3.79,3.13.1
2017-01-03,2017.0,1.0,JAN,M-NAV,ANSP (AUA),46.82,1.45,0.37,0.684,0.11,3.13.1
2017-01-03,2017.0,1.0,JAN,MATS,ANSP (AUA),169.0,3.52,0.2,1.368,0.08,3.13.1
2017-01-03,2017.0,1.0,JAN,MOLDATSA,ANSP (AUA),15.57,0.13,0.02,0.054,0.02,3.13.1
2017-01-03,2017.0,1.0,JAN,MUAC,ANSP (AUA),1545.85,269.21,61.4,138.303,26.54,3.13.1
2017-01-03,2017.0,1.0,JAN,NATS (Continental),ANSP (AUA),2796.91,465.86,166.15,185.661,70.12,3.13.1
2017-01-03,2017.0,1.0,JAN,NAV Portugal (Continental),ANSP (AUA),1024.65,96.39,9.79,34.29,1.65,3.13.1
2017-01-03,2017.0,1.0,JAN,NAVIAIR,ANSP (AUA),412.39,22.86,3.33,11.961,2.43,3.13.1
2017-01-03,2017.0,1.0,JAN,Oro Navigacija,ANSP (AUA),111.56,3.73,0.42,1.512,0.44,3.13.1
2017-01-03,2017.0,1.0,JAN,PANSA,ANSP (AUA),920.62,61.04,9.58,32.337,7.55,3.13.1
2017-01-03,2017.0,1.0,JAN,ROMATSA,ANSP (AUA),773.18,81.51,3.65,29.268000000000004,6.88,3.13.1
2017-01-03,2017.0,1.0,JAN,SMATSA,ANSP (AUA),430.09,40.01,2.48,20.421000000000003,2.02,3.13.1
2017-01-03,2017.0,1.0,JAN,Sakaeronavigatsia,ANSP (AUA),119.5,16.14,0.92,4.644,0.76,3.13.1
2017-01-03,2017.0,1.0,JAN,Skyguide,ANSP (AUA),603.07,92.61,28.76,51.993,17.74,3.13.1
2017-01-03,2017.0,1.0,JAN,Slovenia Control,ANSP (AUA),83.4,7.36,0.56,4.248,0.77,3.13.1
2017-01-03,2017.0,1.0,JAN,UkSATSE,ANSP (AUA),294.3,7.32,0.79,2.493,0.55,3.13.1
2017-01-03,2017.0,1.0,JAN,skeyes,ANSP (AUA),155.54,17.01,6.06,8.451,4.58,3.13.1
2017-01-04,2017.0,1.0,JAN,ANS CR,ANSP (AUA),539.34,100.08,11.01,44.091,9.55,3.13.1
2017-01-04,2017.0,1.0,JAN,ANS Finland,ANSP (AUA),212.46,5.41,1.17,1.9080000000000001,0.79,3.13.1
2017-01-04,2017.0,1.0,JAN,ARMATS,ANSP (AUA),24.61,0.53,0.08,0.18000000000000002,0.01,3.13.1
2017-01-04,2017.0,1.0,JAN,Albcontrol,ANSP (AUA),60.76,2.73,0.14,1.116,0.08,3.13.1
2017-01-04,2017.0,1.0,JAN,Austro Control,ANSP (AUA),525.89,52.89,8.38,29.151,7.24,3.13.1
2017-01-04,2017.0,1.0,JAN,Avinor (Continental),ANSP (AUA),615.66,18.62,4.39,7.128,3.99,3.13.1
2017-01-04,2017.0,1.0,JAN,BULATSA,ANSP (AUA),537.66,64.76,4.11,20.736,2.81,3.13.1
2017-01-04,2017.0,1.0,JAN,Croatia Control,ANSP (AUA),362.05,29.09,1.58,17.145,1.93,3.13.1
2017-01-04,2017.0,1.0,JAN,DCAC Cyprus,ANSP (AUA),342.76,19.38,2.59,7.812,1.04,3.13.1
2017-01-04,2017.0,1.0,JAN,DFS,ANSP (AUA),2515.4,356.99,81.12,193.725,46.48,3.13.1
2017-01-04,2017.0,1.0,JAN,DHMI,ANSP (AUA),2835.26,459.69,62.77,114.25500000000001,28.89,3.13.1
2017-01-04,2017.0,1.0,JAN,DSNA,ANSP (AUA),4429.06,665.11,96.93,270.72,56.47,3.13.1
2017-01-04,2017.0,1.0,JAN,EANS,ANSP (AUA),151.48,6.62,1.01,2.394,0.66,3.13.1
2017-01-04,2017.0,1.0,JAN,ENAIRE,ANSP (AUA),2711.89,311.07,36.04,101.55600000000001,14.0,3.13.1
2017-01-04,2017.0,1.0,JAN,ENAV,ANSP (AUA),1822.63,119.19,33.27,68.922,13.35,3.13.1
2017-01-04,2017.0,1.0,JAN,HCAA,ANSP (AUA),807.84,36.83,3.46,14.895000000000001,2.44,3.13.1
2017-01-04,2017.0,1.0,JAN,HungaroControl,ANSP (AUA),524.76,61.78,4.29,27.873,6.21,3.13.1
2017-01-04,2017.0,1.0,JAN,IAA,ANSP (AUA),562.85,31.21,2.51,8.172,1.94,3.13.1
2017-01-04,2017.0,1.0,JAN,LFV,ANSP (AUA),808.17,32.07,6.0,16.398,4.57,3.13.1
2017-01-04,2017.0,1.0,JAN,LGS,ANSP (AUA),159.59,7.48,0.83,3.411,0.67,3.13.1
2017-01-04,2017.0,1.0,JAN,LPS,ANSP (AUA),211.6,31.43,3.05,12.870000000000001,3.28,3.13.1
2017-01-04,2017.0,1.0,JAN,LVNL,ANSP (AUA),193.91,30.71,5.2,11.916,3.94,3.13.1
2017-01-04,2017.0,1.0,JAN,M-NAV,ANSP (AUA),39.61,1.47,0.23,0.5670000000000001,0.04,3.13.1
