FLT_DATE,YEAR,MONTH_NUM,MONTH_MON,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
2017-01-02,2017.0,1.0,JAN,MUAC,ANSP (AUA),1625.28,280.84,63.62,164.3,24.128999999999998,3.13.1
2017-01-02,2017.0,1.0,JAN,NATS (Continental),ANSP (AUA),2766.64,475.68,179.02,225.96,59.643,3.13.1
2017-01-02,2017.0,1.0,JAN,NAV Portugal (Continental),ANSP (AUA),1078.72,97.53,11.14,38.46,2.295,3.13.1
2017-01-02,2017.0,1.0,JAN,NAVIAIR,ANSP (AUA),430.47,25.65,3.9,14.56,2.1870000000000003,3.13.1
2017-01-02,2017.0,1.0,JAN,Oro Navigacija,ANSP (AUA),127.04,4.83,0.49,2.42,0.36000000000000004,3.13.1
2017-01-02,2017.0,1.0,JAN,PANSA,ANSP (AUA),1020.42,71.3,9.38,40.93,7.164,3.13.1
2017-01-02,2017.0,1.0,JAN,ROMATSA,ANSP (AUA),731.62,72.91,3.86,27.9,7.047000000000001,3.13.1
2017-01-02,2017.0,1.0,JAN,SMATSA,ANSP (AUA),444.7,42.69,2.72,22.59,1.971,3.13.1
2017-01-02,2017.0,1.0,JAN,Sakaeronavigatsia,ANSP (AUA),126.6,15.46,0.75,5.21,0.333,3.13.1
2017-01-02,2017.0,1.0,JAN,Skyguide,ANSP (AUA),717.98,125.24,42.27,79.45,20.790000000000003,3.13.1
2017-01-02,2017.0,1.0,JAN,Slovenia Control,ANSP (AUA),85.8,6.93,0.79,4.68,0.333,3.13.1
2017-01-02,2017.0,1.0,JAN,UkSATSE,ANSP (AUA),295.49,7.29,0.92,2.76,0.5760000000000001,3.13.1
2017-01-02,2017.0,1.0,JAN,skeyes,ANSP (AUA),157.61,17.34,6.5,9.86,3.789,3.13.1
2017-01-03,2017.0,1.0,JAN,ANS CR,ANSP (AUA),555.12,93.43,12.35,48.13,9.081,3.13.1
2017-01-03,2017.0,1.0,JAN,ANS Finland,ANSP (AUA),188.94,4.79,1.06,1.93,0.774,3.13.1
2017-01-03,2017.0,1.0,JAN,ARMATS,ANSP (AUA),25.51,0.53,0.04,0.16,0.009000000000000001,3.13.1
2017-01-03,2017.0,1.0,JAN,Albcontrol,ANSP (AUA),58.53,2.75,0.08,1.11,0.027,3.13.1
