YEAR;MONTH_NUM;MONTH_MON;FLT_DATE;ENTITY_NAME;ENTITY_TYPE;CPLX_FLIGHT_HRS;CPLX_INTER;VERTICAL_INTER_HRS;HORIZ_INTER_HRS;SPEED_INTER_HRS;BADA_VERSION
2017;1;JAN;03-01-2017;M-NAV;ANSP (AUA);46.82;1.45;0.37;0.76;0.11;3.13.1
2017;1;JAN;03-01-2017;MATS;ANSP (AUA);169.00;3.52;0.20;1.52;0.08;3.13.1
2017;1;JAN;03-01-2017;MOLDATSA;ANSP (AUA);15.57;0.13;0.02;0.06;0.02;3.13.1
2017;1;JAN;03-01-2017;MUAC;ANSP (AUA);1545.85;269.21;61.40;153.67;26.54;3.13.1
2017;1;JAN;03-01-2017;NATS (Continental);ANSP (AUA);2796.91;465.86;166.15;206.29;70.12;3.13.1
2017;1;JAN;03-01-2017;NAV Portugal (Continental);ANSP (AUA);1024.65;96.39;9.79;38.10;1.65;3.13.1
2017;1;JAN;03-01-2017;NAVIAIR;ANSP (AUA);412.39;22.86;3.33;13.29;2.43;3.13.1
2017;1;JAN;03-01-2017;Oro Navigacija;ANSP (AUA);111.56;3.73;0.42;1.68;0.44;3.13.1
2017;1;JAN;03-01-2017;PANSA;ANSP (AUA);920.62;61.04;9.58;35.93;7.55;3.13.1
2017;1;JAN;03-01-2017;ROMATSA;ANSP (AUA);773.18;81.51;3.65;32.52;6.88;3.13.1
2017;1;JAN;03-01-2017;SMATSA;ANSP (AUA);430.09;40.01;2.48;22.69;2.02;3.13.1
2017;1;JAN;03-01-2017;Sakaeronavigatsia;ANSP (AUA);119.50;16.14;0.92;5.16;0.76;3.13.1
2017;1;JAN;03-01-2017;Skyguide;ANSP (AUA);603.07;92.61;28.76;57.77;17.74;3.13.1
2017;1;JAN;03-01-2017;Slovenia Control;ANSP (AUA);83.40;7.36;0.56;4.72;0.77;3.13.1
2017;1;JAN;03-01-2017;UkSATSE;ANSP (AUA);294.30;7.32;0.79;2.77;0.55;3.13.1
2017;1;JAN;03-01-2017;skeyes;ANSP (AUA);155.54;17.01;6.06;9.39;4.58;3.13.1
2017;1;JAN;04-01-2017;ANS CR;ANSP (AUA);539.34;100.08;11.01;48.99;9.55;3.13.1
2017;1;JAN;04-01-2017;ANS Finland;ANSP (AUA);212.46;5.41;1.17;2.12;0.79;3.13.1
2017;1;JAN;04-01-2017;ARMATS;ANSP (AUA);24.61;0.53;0.08;0.20;0.01;3.13.1
2017;1;JAN;04-01-2017;Albcontrol;ANSP (AUA);60.76;2.73;0.14;1.24;0.08;3.13.1
2017;1;JAN;04-01-2017;Austro Control;ANSP (AUA);525.89;52.89;8.38;32.39;7.24;3.13.1
2017;1;JAN;04-01-2017;Avinor (Continental);ANSP (AUA);615.66;18.62;4.39;7.92;3.99;3.13.1
2017;1;JAN;04-01-2017;BULATSA;ANSP (AUA);537.66;64.76;4.11;23.04;2.81;3.13.1
2017;1;JAN;04-01-2017;Croatia Control;ANSP (AUA);362.05;29.09;1.58;19.05;1.93;3.13.1
2017;1;JAN;04-01-2017;DCAC Cyprus;ANSP (AUA);342.76;19.38;2.59;8.68;1.04;3.13.1
2017;1;JAN;04-01-2017;DFS;ANSP (AUA);2515.40;356.99;81.12;215.25;46.48;3.13.1
2017;1;JAN;04-01-2017;DHMI;ANSP (AUA);2835.26;459.69;62.77;126.95;28.89;3.13.1
2017;1;JAN;04-01-2017;DSNA;ANSP (AUA);4429.06;665.11;96.93;300.80;56.47;3.13.1
2017;1;JAN;04-01-2017;EANS;ANSP (AUA);151.48;6.62;1.01;2.66;0.66;3.13.1
