MONTH_NUM,MONTH_MON,FLT_DATE,ENTITY_NAME,ENTITY_TYPE,CPLX_FLIGHT_HRS,CPLX_INTER,VERTICAL_INTER_HRS,HORIZ_INTER_HRS,SPEED_INTER_HRS,BADA_VERSION
1.0,JAN,05-01-2017,Skyguide,ANSP (AUA),563.63,77.58,20.547,47.31,14.41,3.13.1
1.0,JAN,05-01-2017,Slovenia Control,ANSP (AUA),97.02,9.33,0.927,5.95,0.81,3.13.1
1.0,JAN,05-01-2017,UkSATSE,ANSP (AUA),282.68,7.84,0.873,2.61,0.44,3.13.1
1.0,JAN,05-01-2017,skeyes,ANSP (AUA),166.2,19.22,6.507000000000001,11.21,5.13,3.13.1
1.0,JAN,06-01-2017,ANS CR,ANSP (AUA),538.22,89.25,10.206,44.68,8.52,3.13.1
1.0,JAN,06-01-2017,ANS Finland,ANSP (AUA),182.51,4.14,0.909,1.52,0.93,3.13.1
1.0,JAN,06-01-2017,ARMATS,ANSP (AUA),28.77,0.72,0.081,0.19,0.04,3.13.1
1.0,JAN,06-01-2017,Albcontrol,ANSP (AUA),58.59,3.02,0.099,1.07,0.05,3.13.1
1.0,JAN,06-01-2017,Austro Control,ANSP (AUA),514.51,49.11,8.451,29.77,6.99,3.13.1
1.0,JAN,06-01-2017,Avinor (Continental),ANSP (AUA),593.78,19.43,4.572,9.1,3.57,3.13.1
1.0,JAN,06-01-2017,BULATSA,ANSP (AUA),518.16,64.08,3.591,23.12,3.72,3.13.1
1.0,JAN,06-01-2017,Croatia Control,ANSP (AUA),340.56,23.45,1.53,14.31,1.22,3.13.1
1.0,JAN,06-01-2017,DCAC Cyprus,ANSP (AUA),301.97,21.41,2.133,9.21,0.91,3.13.1
1.0,JAN,06-01-2017,DFS,ANSP (AUA),2563.28,362.22,84.825,219.24,53.34,3.13.1
1.0,JAN,06-01-2017,DHMI,ANSP (AUA),2861.5,594.01,53.199,139.85,37.35,3.13.1
1.0,JAN,06-01-2017,DSNA,ANSP (AUA),4728.77,756.42,97.281,343.67,53.83,3.13.1
1.0,JAN,06-01-2017,EANS,ANSP (AUA),156.33,7.7,0.918,2.57,0.77,3.13.1
1.0,JAN,06-01-2017,ENAIRE,ANSP (AUA),2857.12,320.69,31.437,116.45,9.68,3.13.1
1.0,JAN,06-01-2017,ENAV,ANSP (AUA),1852.89,124.18,31.176000000000002,78.8,12.77,3.13.1
1.0,JAN,06-01-2017,HCAA,ANSP (AUA),805.32,32.95,2.9160000000000004,14.21,2.44,3.13.1
1.0,JAN,06-01-2017,HungaroControl,ANSP (AUA),476.67,48.44,3.51,24.55,5.04,3.13.1
1.0,JAN,06-01-2017,IAA,ANSP (AUA),686.84,46.51,2.9339999999999997,13.3,2.34,3.13.1
1.0,JAN,06-01-2017,LFV,ANSP (AUA),769.01,29.76,4.932,15.96,2.97,3.13.1
1.0,JAN,06-01-2017,LGS,ANSP (AUA),169.32,8.1,0.936,3.92,0.96,3.13.1
